year,short-title,long-title,author,read,award,category,,,,
2021,The Three-Cornered War,"The Three-Cornered War: The Union, the Confederacy, and Native Peoples in the Fight for the West",Megan Kate Nelson,1,finalist,history,,,,
2021,The Deviant's War,The Deviants War: The Homosexual vs. the United States of America,Eric Cervini,0,finalist,history,,,,
2021,Franchise,Franchise: The Golden Arches in Black America,Marcia Chatelain,1,winner,history,,,,
2021,Minor Feelings,Minor Feelings: An Asian American Reckoning,Cathy Park Hong,0,finalist,general-nonfiction,,,,
2021,Yellow Bird,"Yellow Bird: Oil, Murder, and a Woman's Search for Justice in Indian Country",Sierra Crane Murdoch,0,finalist,general-nonfiction,,,,
2021,Wilmington's Lie,Wilmingtons Lie: The Murderous Coup of 1898 and the Rise of White Supremacy,David Zucchino,0,winner,general-nonfiction,,,,
2020,Sweet Taste of Liberty ,Sweet Taste of Liberty: A True Story of Slavery and Restitution in America,W. Caleb McDaniel,1,winner,history,,,,
2020,Solitary,Solitary ,Albert Woodfox,1,finalist,general-nonfiction,,,,
2020,Race for Profit,Race for Profit: How Banks and the Real Estate Industry Undermined Black Homeownership,Keeanga-Yamahtta Taylor,0,finalist,history,,,,
2020,The End of the Myth ,The End of the Myth: From the Frontier to the Border Wall in the Mind of America,Greg Grandin,1,winner,general-nonfiction,,,,
2020,The Undying,"The Undying: Pain, Vulnerability, Mortality, Medicine, Art, Time, Dreams, Data, Exhaustion, Cancer, and Care ",Anne Boyer,0,winner,general-nonfiction,,,,
2020,Elderhood,"Elderhood: Redefining Aging, Transforming Medicine, Reimagining Life",Louise Aronson,0,finalist,general-nonfiction,,,,
2019,Frederick Douglass ,Frederick Douglass: Prophet of Freedom,David W. Blight,0,winner,history,,,,
2019,American Eden ,"American Eden: David Hosack, Botany, and Medicine in the Garden of the Early Republic",Victoria Johnson,0,finalist,history,,,,
2019,Civilizing Torture ,Civilizing Torture: An American Tradition,W. Fitzhugh Brundage,0,finalist,history,,,,
2019,Amity and Prosperity ,Amity and Prosperity: One Family and the Fracturing of America,Eliza Griswold,1,winner,general-nonfiction,,,,
2019,In a Day's Work,In a Day's Work: The Fight to End Sexual Violence Against America's Most Vulnerable Workers,Bernice Yeung,0,finalist,general-nonfiction,,,,
2019,Rising,Rising: Dispatches from the New American Shore,Elizabeth Rush,0,finalist,general-nonfiction,,,,
2018,Locking Up Our Own ,Locking Up Our Own: Crime and Punishment in Black America,James Forman Jr.,1,winner,general-nonfiction,,,,
2018,Notes on a Foreign Country ,Notes on a Foreign Country: An American Abroad in a Post-America World,Suzy Hansen,0,finalist,general-nonfiction,,,,
2018,The Evolution of Beauty,The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World€”and Us,Richard O. Prum,1,finalist,general-nonfiction,,,,
2018,The Gulf ,The Gulf: The Making of an American Sea,Jack E. Davis,1,winner,history,,,,
2018,Fear City ,Fear City: New Yorks Fiscal Crisis and the Rise of Austerity Politics, Kim Phillips-Fein,0,finalist,history,,,,
2018,Hitler in Los Angeles ,Hitler in Los Angeles: How Jews Foiled Nazi Plots Against Hollywood and America,Steven J. Ross,0,finalist,history,,,,
2017,Evicted ,Evicted: Poverty and Profit in the American City,Matthew Desmond,1,winner,general-nonfiction,,,,
2017,In a Different Key ,In a Different Key: The Story of Autism,John Donvan and Caren Zucker,1,finalist,general-nonfiction,,,,
2017,The Politics of Mourning ,The Politics of Mourning: Death and Honor in Arlington National Cemetery,Micki McElya ,0,finalist,general-nonfiction,,,,
2017,Blood in the Water ,Blood in the Water: The Attica Prison Uprising of 1971 and Its Legacy,Heather Ann Thompson ,0,winner,history,,,,
2017,Brothers at Arms,Brothers at Arms: American Independence and the Men of France and Spain Who Saved It,Larrie D. Ferreiro,0,finalist,history,,,,
2017,New England Bound,New England Bound: Slavery and Colonization in Early America,Wendy Warren,0,finalist,history,,,,
2016,Black Flags,Black Flags: The Rise of ISIS ,Joby Warrick,1,winner,general-nonfiction,,,,
2016,Between the World and Me ,Between the World and Me ,Ta-Nehisi Coates,1,finalist,general-nonfiction,,,,
2016,If the Oceans Were Ink ,If the Oceans Were Ink: An Unlikely Friendship and a Journey to the Heart of the Quran,Carla Power,0,finalist,general-nonfiction,,,,
2016,Custer's Trials ,Custer's Trials: A Life on the Frontier of a New America,T.J. Stiles,1,winner,history,,,,
2016,Marching Home,Marching Home: Union Veterans and Their Unending Civil War,Brian Matthew Jordan,0,finalist,history,,,,
2016,Target Tokyo,Target Tokyo: Jimmy Doolittle and the Raid That Avenged Pearl Harbor,James M. Scott,0,finalist,history,,,,
2016,The Pentagon's Brain,"The Pentagon's Brain: An Uncensored History of DARPA, America's Top-Secret Military Research Agency",Annie Jacobsen,0,finalist,history,,,,
2015,The Sixth Extinction,The Sixth Extinction: An Unnatural History ,Elizabeth Kolbert ,0,winner,general-nonfiction,,,,
2015,Age of Ambition ,"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",Evan Osnos,1,finalist,general-nonfiction,,,,
2015,No Good Men Among the Living ,"No Good Men Among the Living: America, the Taliban and the War Through Afghan Eyes",Anand Gopal,1,finalist,general-nonfiction,,,,
2015,Encounters at the Heart of the World ,Encounters at the Heart of the World: A History of the Mandan People,Elizabeth A. Fenn,1,winner,history,,,,
2015,An Empire on the Edge,An Empire on the Edge: How Britain Came to Fight America,Nick Bunker,0,finalist,history,,,,
2015,Empire of Cotton,Empire of Cotton: A Global History,Steven Beckert,0,finalist,history,,,,
2014,Toms River,Toms River: A Story of Science and Salvation ,Dan Fagin ,0,winner,general-nonfiction,,,,
2014,The Blood Telegram,"The Blood Telegram: Nixon, Kissinger and a Forgotten Genocide ",Gary J. Bass,0,finalist,general-nonfiction,,,,
2014,The Insurgents,The Insurgents: David Petraeus and the Plot to Change the American Way of War ,Fred Kaplan,0,finalist,general-nonfiction,,,,
2014,The Internal Enemy,"The Internal Enemy: Slavery and War in Virginia, 1772-1832",Alan Taylor,0,winner,history,,,,
2014,A Dreadful Deceit,A Dreadful Deceit: The Myth of Race from the Colonial Era to Obama's America,Jacqueline Jones,0,finalist,history,,,,
2014,Command and Control,"Command and Control: Nuclear Weapons, the Damascus Accident and the Illusion of Safety",Eric Schlosser,1,finalist,history,,,,
2013,Devil in the Grove,"Devil in the Grove: Thurgood Marshall, the Groveland Boys, and the Dawn of a New America",Gilbert King,0,winner,general-nonfiction,,,,
2013,Behind the Beautiful Forevers,"Behind the Beautiful Forevers: Life, Death and Hope in a Mumbai Undercity",Katherine Boo,0,finalist,general-nonfiction,,,,
2013,The Forest Unseen,The Forest Unseen: A Year's Watch in Nature,David George Haskell,0,finalist,general-nonfiction,,,,
2013,Embers of War,Embers of War: The Fall of an Empire and the Making of America's Vietnam,Fredrik Logeval,0,winner,history,,,,
2013,Lincoln's Code,Lincoln's Code: The Laws of War in American History,John Fabian Witt,0,finalist,history,,,,
2013,The Barbarous Years,"The Barbarous Years: The Peopling of British North America: The Conflict of Civilizations, 1600-1675",Bernard Bailyn,0,finalist,history,,,,
2012,Wilmington’s Lie,Wilmington’s Lie: The Murderous Coup of 1898 and the Rise of White Supremacy,David Zucchino,0,winner,general-nonfiction,,,,
2012,Minor Feelings,Minor Feelings: An Asian American Reckoning,Cathy Park Hong,0,finalist,general-nonfiction,,,,
2012,Yellow Bird,"Yellow Bird: Oil, Murder, and a Woman's Search for Justice in Indian Country",Sierra Crane Murdoch,0,finalist,general-nonfiction,,,,
2012,Malcolm X,Malcolm X: A Life of Reinvention,Manning Marable,0,winner,history,,,,
2012,"Empires, Nations & Families","Empires, Nations & Families: A History of the North American West, 1800-1860",Anne F. Hyde,0,finalist,history,,,,
2012,Railroaded,Railroaded: The Transcontinentals and the Making of Modern America,Richard White,0,finalist,history,,,,
2012,The Eleventh Day,The Eleventh Day: The Full Story of 9/11 and Osama Bin Laden,Anthony Summers and Robbyn Swan,0,finalist,history,,,,
2011,The Emperor of All Maladies,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,0,winner,general-nonfiction,,,,
2011,Empire of the Summer Moon,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,0,finalist,general-nonfiction,,,,
2011,The Shallows,The Shallows: What the Internet is Doing to Our Brains,Nicholas Carr,0,finalist,general-nonfiction,,,,
2011,The Fiery Trial,The Fiery Trial: Abraham Lincoln and American Slavery,Eric Foner,0,winner,history,,,,
2011,Confederate Reckoning,Confederate Reckoning: Power and Politics in the Civil War South,Stephanie McCurry,0,finalist,history,,,,
2011,Eden on the Charles,Eden on the Charles: The Making of Boston,Michael Rawson,0,finalist,history,,,,
